name,path,scale,description
MagazineStack01,objects_usd/object2/Magazines/MagazineStack01.usd,0.005724085555584184,magazine stack
OpenMagazine,objects_usd/object2/Magazines/OpenMagazine.usd,0.0048385423684390244,open magazine
Magazine01,objects_usd/object2/Magazines/Magazine01.usd,0.007223366824547389,magazine
Pagota,objects_usd/object2/Decor/Pagota.usd,0.0074755129641023155,pagota
GardenMoai,objects_usd/object2/Decor/GardenMoai.usd,0.004918655970651379,garden moai
TikiGods,objects_usd/object2/Decor/TikiGods.usd,0.004912228101998291,tiki gods
PinkFlamingos,objects_usd/object2/Decor/PinkFlamingos.usd,0.0021383360094074256,pink flamingos
Prime_Large,objects_usd/object2/Vases/Prime_Large.usd,0.004792496513637218,large prime
Earthenware01,objects_usd/object2/Vases/Earthenware01.usd,0.005684955807483885,earthenware
Vase_Cylinder,objects_usd/object2/Vases/Vase_Cylinder.usd,0.011870506854848204,vase cylinder
AntiquelVaseSmall,objects_usd/object2/Vases/AntiquelVaseSmall.usd,0.002316946231210453,small antiquel vase
pitcher,objects_usd/object2/Vases/pitcher.usd,0.0033437432017874354,pitcher
Prime_DoubleGourd,objects_usd/object2/Vases/Prime_DoubleGourd.usd,0.01051126769331136,prime double gourd
AbstractFace_Small,objects_usd/object2/Vases/AbstractFace_Small.usd,0.005882352281194318,small abstract face
RecycledGlassVase_Small,objects_usd/object2/Vases/RecycledGlassVase_Small.usd,0.004604528437368373,small recycled glass vase
AntiquelVase,objects_usd/object2/Vases/AntiquelVase.usd,0.0017958708206683807,antiquel vase
japan_vase,objects_usd/object2/Vases/japan_vase.usd,0.004151990565904005,japan vase
Vase_Torus,objects_usd/object2/Vases/Vase_Torus.usd,0.0024196501317200365,vase torus
BrassVase,objects_usd/object2/Vases/BrassVase.usd,0.00994456673378091,brass vase
Abstract_Face,objects_usd/object2/Vases/Abstract_Face.usd,0.004705881508164079,abstract face
RecycledGlassVase_Large,objects_usd/object2/Vases/RecycledGlassVase_Large.usd,0.00457367497132337,large recycled glass vase
Knit,objects_usd/object2/Vases/Knit.usd,0.005625734887157601,knit
Seahorn,objects_usd/object2/Vases/Seahorn.usd,0.005434799059176707,seahorn
CellVase01,objects_usd/object2/Vases/CellVase01.usd,0.004938269744394657,cell vase
Bowl_Footed,objects_usd/object2/Vases/Bowl_Footed.usd,0.006191624475934838,bowl footed
RecycledGlassVase_Medium,objects_usd/object2/Vases/RecycledGlassVase_Medium.usd,0.00460644968676216,medium recycled glass vase
Ball_Walnut,objects_usd/object2/Games/Ball_Walnut.usd,0.015490571601288439,ball walnut
RubixCube,objects_usd/object2/Games/RubixCube.usd,0.034333109674056374,rubix cube
BubbleMarble_01,objects_usd/object2/Games/BubbleMarble_01.usd,0.11887541072140793,bubble marble
Solid_Marble,objects_usd/object2/Games/Solid_Marble.usd,0.11468344850063764,solid marble
Thing_FlipFlop,objects_usd/object2/Games/Thing_FlipFlop.usd,0.009432506514344602,thing flip flop
TwistMarble,objects_usd/object2/Games/TwistMarble.usd,0.12057304554091015,twist marble
SwirlMarble,objects_usd/object2/Games/SwirlMarble.usd,0.12057304554091015,swirl marble
Chess_Bishop,objects_usd/object2/Games/ChessSet/Chess_Bishop.usd,0.008487209686227492,chess bishop
Chess_Board,objects_usd/object2/Games/ChessSet/Chess_Board.usd,0.0037507590399439585,chess board
Chess_King,objects_usd/object2/Games/ChessSet/Chess_King.usd,0.00825614963767303,chess king
Chess_Queen,objects_usd/object2/Games/ChessSet/Chess_Queen.usd,0.008551690795883285,chess queen
Chess_Knight,objects_usd/object2/Games/ChessSet/Chess_Knight.usd,0.026285596180103572,chess knight
Chess_Pawn,objects_usd/object2/Games/ChessSet/Chess_Pawn.usd,0.008803154902636692,chess pawn
Chess_Rook,objects_usd/object2/Games/ChessSet/Chess_Rook.usd,0.008514121130314018,chess rook
Percentage,objects_usd/object2/Games/DiceSet/Percentage.usd,0.12822384781537716,percentage
Spoon_Small,objects_usd/object2/Flatware/Spoon_Small.usd,0.013528904405897064,small spoon
Spoon_Big,objects_usd/object2/Flatware/Spoon_Big.usd,0.011801028263805724,spoon big
Fork_Small,objects_usd/object2/Flatware/Fork_Small.usd,0.012300767812590475,small fork
Fork_Big,objects_usd/object2/Flatware/Fork_Big.usd,0.010865308026512952,fork big
Coaster_Hexagon,objects_usd/object2/Coasters/Coaster_Hexagon.usd,0.017145198596828115,coaster hexagon
ChippedPlanter_Medium,objects_usd/object2/Planters/ChippedPlanter_Medium.usd,0.0037957134026717857,medium chipped planter
GardenPlanter_Large,objects_usd/object2/Planters/GardenPlanter_Large.usd,0.0040846901949064315,large garden planter
ChippedPlanter_Large,objects_usd/object2/Planters/ChippedPlanter_Large.usd,0.003313851762323064,large chipped planter
GardenPlanter_Medium,objects_usd/object2/Planters/GardenPlanter_Medium.usd,0.005158818598581691,medium garden planter
SquareGardenPlanter_Long,objects_usd/object2/Planters/SquareGardenPlanter_Long.usd,0.0016028659642592148,square garden planter long
