name,path,scale,description
3D_Dollhouse_TablePurple,objects_usd/google_objects_usd/3D_Dollhouse_TablePurple/3D_Dollhouse_TablePurple.usd,1,3d_dollhouse_tablepurple description
Nestle_Raisinets_Milk_Chocolate_35_oz_992_g,objects_usd/google_objects_usd/Nestle_Raisinets_Milk_Chocolate_35_oz_992_g/Nestle_Raisinets_Milk_Chocolate_35_oz_992_g.usd,1,nestle_raisinets_milk_chocolate_35_oz_992_g description
Olive_Kids_Birdie_Munch_n_Lunch,objects_usd/google_objects_usd/Olive_Kids_Birdie_Munch_n_Lunch/Olive_Kids_Birdie_Munch_n_Lunch.usd,1,olive_kids_birdie_munch_n_lunch description
Swiss_Miss_Hot_Cocoa_KCups_Milk_Chocolate_12_count,objects_usd/google_objects_usd/Swiss_Miss_Hot_Cocoa_KCups_Milk_Chocolate_12_count/Swiss_Miss_Hot_Cocoa_KCups_Milk_Chocolate_12_count.usd,1,swiss_miss_hot_cocoa_kcups_milk_chocolate_12_count description
HP_1800_Tablet_8GB_7,objects_usd/google_objects_usd/HP_1800_Tablet_8GB_7/HP_1800_Tablet_8GB_7.usd,1,hp_1800_tablet_8gb_7 description
Schleich_Bald_Eagle,objects_usd/google_objects_usd/Schleich_Bald_Eagle/Schleich_Bald_Eagle.usd,1,schleich_bald_eagle description
Schleich_Therizinosaurus_ln9cruulPqc,objects_usd/google_objects_usd/Schleich_Therizinosaurus_ln9cruulPqc/Schleich_Therizinosaurus_ln9cruulPqc.usd,1,schleich_therizinosaurus_ln9cruulpqc description
W_Lou_z0dkC78niiZ,objects_usd/google_objects_usd/W_Lou_z0dkC78niiZ/W_Lou_z0dkC78niiZ.usd,1,w_lou_z0dkc78niiz description
Down_To_Earth_Ceramic_Orchid_Pot_Asst_Blue,objects_usd/google_objects_usd/Down_To_Earth_Ceramic_Orchid_Pot_Asst_Blue/Down_To_Earth_Ceramic_Orchid_Pot_Asst_Blue.usd,1,down_to_earth_ceramic_orchid_pot_asst_blue description
Retail_Leadership_Summit,objects_usd/google_objects_usd/Retail_Leadership_Summit/Retail_Leadership_Summit.usd,1,retail_leadership_summit description
Ecoforms_Cup_B4_SAN,objects_usd/google_objects_usd/Ecoforms_Cup_B4_SAN/Ecoforms_Cup_B4_SAN.usd,1,ecoforms_cup_b4_san description
Ecoforms_Plant_Bowl_Atlas_Low,objects_usd/google_objects_usd/Ecoforms_Plant_Bowl_Atlas_Low/Ecoforms_Plant_Bowl_Atlas_Low.usd,1,ecoforms_plant_bowl_atlas_low description
Chelsea_BlkHeelPMP_DwxLtZNxLZZ,objects_usd/google_objects_usd/Chelsea_BlkHeelPMP_DwxLtZNxLZZ/Chelsea_BlkHeelPMP_DwxLtZNxLZZ.usd,1,chelsea_blkheelpmp_dwxltznxlzz description
Firefly_Clue_Board_Game,objects_usd/google_objects_usd/Firefly_Clue_Board_Game/Firefly_Clue_Board_Game.usd,1,firefly_clue_board_game description
Threshold_Porcelain_Spoon_Rest_White,objects_usd/google_objects_usd/Threshold_Porcelain_Spoon_Rest_White/Threshold_Porcelain_Spoon_Rest_White.usd,1,threshold_porcelain_spoon_rest_white description
Threshold_Porcelain_Pitcher_White,objects_usd/google_objects_usd/Threshold_Porcelain_Pitcher_White/Threshold_Porcelain_Pitcher_White.usd,1,threshold_porcelain_pitcher_white description
Chefmate_8_Frypan,objects_usd/google_objects_usd/Chefmate_8_Frypan/Chefmate_8_Frypan.usd,1,chefmate_8_frypan description
035_power_drill,objects_usd/google_objects_usd/035_power_drill/035_power_drill.usd,1,035_power_drill description
3M_Antislip_Surfacing_Light_Duty_White,objects_usd/google_objects_usd/3M_Antislip_Surfacing_Light_Duty_White/3M_Antislip_Surfacing_Light_Duty_White.usd,1,3m_antislip_surfacing_light_duty_white description
INTERNATIONAL_PAPER_Willamette_4_Brown_Bag_500Count,objects_usd/google_objects_usd/INTERNATIONAL_PAPER_Willamette_4_Brown_Bag_500Count/INTERNATIONAL_PAPER_Willamette_4_Brown_Bag_500Count.usd,1,international_paper_willamette_4_brown_bag_500count description
Hyaluronic_Acid,objects_usd/google_objects_usd/Hyaluronic_Acid/Hyaluronic_Acid.usd,1,hyaluronic_acid description
Olive_Kids_Birdie_Sidekick_Backpack,objects_usd/google_objects_usd/Olive_Kids_Birdie_Sidekick_Backpack/Olive_Kids_Birdie_Sidekick_Backpack.usd,1,olive_kids_birdie_sidekick_backpack description
Perricone_MD_Best_of_Perricone_7Piece_Collection_MEGsO6GIsyL,objects_usd/google_objects_usd/Perricone_MD_Best_of_Perricone_7Piece_Collection_MEGsO6GIsyL/Perricone_MD_Best_of_Perricone_7Piece_Collection_MEGsO6GIsyL.usd,1,perricone_md_best_of_perricone_7piece_collection_megso6gisyl description
Little_Debbie_Cloud_Cakes_10_ct,objects_usd/google_objects_usd/Little_Debbie_Cloud_Cakes_10_ct/Little_Debbie_Cloud_Cakes_10_ct.usd,1,little_debbie_cloud_cakes_10_ct description
Jawbone_UP24_Wireless_Activity_Tracker_Pink_Coral_L,objects_usd/google_objects_usd/Jawbone_UP24_Wireless_Activity_Tracker_Pink_Coral_L/Jawbone_UP24_Wireless_Activity_Tracker_Pink_Coral_L.usd,1,jawbone_up24_wireless_activity_tracker_pink_coral_l description
Razer_Kraken_71_Chroma_headset_Full_size_Black,objects_usd/google_objects_usd/Razer_Kraken_71_Chroma_headset_Full_size_Black/Razer_Kraken_71_Chroma_headset_Full_size_Black.usd,1,razer_kraken_71_chroma_headset_full_size_black description
Ecoforms_Plant_Container_QP6CORAL,objects_usd/google_objects_usd/Ecoforms_Plant_Container_QP6CORAL/Ecoforms_Plant_Container_QP6CORAL.usd,1,ecoforms_plant_container_qp6coral description
Connect_4_Launchers,objects_usd/google_objects_usd/Connect_4_Launchers/Connect_4_Launchers.usd,1,connect_4_launchers description
