name,path,scale,description
MagazineStack01,/home/ja/Projects/Simulation/data/mesh/usd/object2/Magazines/MagazineStack01.usd,0.005724085555584184,magazine stack
OpenMagazine,/home/ja/Projects/Simulation/data/mesh/usd/object2/Magazines/OpenMagazine.usd,0.0048385423684390244,open magazine
Magazine01,/home/ja/Projects/Simulation/data/mesh/usd/object2/Magazines/Magazine01.usd,0.007223366824547389,magazine
Pagota,/home/ja/Projects/Simulation/data/mesh/usd/object2/Decor/Pagota.usd,0.0074755129641023155,pagota
GardenMoai,/home/ja/Projects/Simulation/data/mesh/usd/object2/Decor/GardenMoai.usd,0.004918655970651379,garden moai
TikiGods,/home/ja/Projects/Simulation/data/mesh/usd/object2/Decor/TikiGods.usd,0.004912228101998291,tiki gods
PinkFlamingos,/home/ja/Projects/Simulation/data/mesh/usd/object2/Decor/PinkFlamingos.usd,0.0021383360094074256,pink flamingos
Prime_Large,/home/ja/Projects/Simulation/data/mesh/usd/object2/Vases/Prime_Large.usd,0.004792496513637218, prime
Earthenware01,/home/ja/Projects/Simulation/data/mesh/usd/object2/Vases/Earthenware01.usd,0.005684955807483885,earthenware
Vase_Cylinder,/home/ja/Projects/Simulation/data/mesh/usd/object2/Vases/Vase_Cylinder.usd,0.011870506854848204,vase cylinder
AntiquelVaseSmall,/home/ja/Projects/Simulation/data/mesh/usd/object2/Vases/AntiquelVaseSmall.usd,0.002316946231210453, antiquel vase
pitcher,/home/ja/Projects/Simulation/data/mesh/usd/object2/Vases/pitcher.usd,0.0033437432017874354,pitcher
Prime_DoubleGourd,/home/ja/Projects/Simulation/data/mesh/usd/object2/Vases/Prime_DoubleGourd.usd,0.01051126769331136,prime double gourd
AbstractFace_Small,/home/ja/Projects/Simulation/data/mesh/usd/object2/Vases/AbstractFace_Small.usd,0.005882352281194318, abstract face
RecycledGlassVase_Small,/home/ja/Projects/Simulation/data/mesh/usd/object2/Vases/RecycledGlassVase_Small.usd,0.004604528437368373, recycled glass vase
AntiquelVase,/home/ja/Projects/Simulation/data/mesh/usd/object2/Vases/AntiquelVase.usd,0.0017958708206683807,antiquel vase
japan_vase,/home/ja/Projects/Simulation/data/mesh/usd/object2/Vases/japan_vase.usd,0.004151990565904005,japan vase
Vase_Torus,/home/ja/Projects/Simulation/data/mesh/usd/object2/Vases/Vase_Torus.usd,0.0024196501317200365,vase torus
BrassVase,/home/ja/Projects/Simulation/data/mesh/usd/object2/Vases/BrassVase.usd,0.00994456673378091,brass vase
Abstract_Face,/home/ja/Projects/Simulation/data/mesh/usd/object2/Vases/Abstract_Face.usd,0.004705881508164079,abstract face
